r_vec,x_vec,xr_vec,e_vec,par_vec,reg_vec,par_dot_vec,u_vec,enc_u_vec
0.0,"[[0.0]
 [0.0]]","[[0.0]
 [0.0]]","[[0.0]
 [0.0]]","[[0.0]
 [0.0]]","[[0.0]
 [0.0]]","[[0.0]
 [0.0]]",[[0.0]],1452.66986771308
0.0,"[[0.0]
 [0.0]]","[[0.0]
 [0.0]]","[[0.0]
 [0.0]]","[[0.0]
 [0.0]]","[[0.0]
 [0.0]]","[[0.0]
 [0.0]]",[[0.0]],1452.68808446719
0.00025,"[[0.0]
 [0.0]]","[[0.0]
 [0.0]]","[[0.0]
 [0.0]]","[[0.0]
 [0.0]]","[[0.0062499999999999995]
 [0.0]]","[[0.0]
 [0.0]]",[[0.0]],1453.26118251096
0.0005,"[[0.0]
 [0.0]]","[[3.1249999999999997e-07]
 [6.0062499999999996e-05]]","[[-3.1249999999999997e-07]
 [-6.0062499999999996e-05]]","[[0.0]
 [0.0]]","[[0.012499999999999999]
 [0.0]]","[[0.0002635609375]
 [0.0]]",[[0.0]],1452.78568298967
0.00075,"[[0.0]
 [0.0]]","[[6.249999999999999e-07]
 [0.00012012499999999999]]","[[-6.249999999999999e-07]
 [-0.00012012499999999999]]","[[2.635609375e-06]
 [0.0]]","[[0.01875]
 [0.0]]","[[0.0007906828125000001]
 [0.0]]",[[0.0]],1453.1599421785
0.00125,"[[0.0]
 [0.0]]","[[9.374999999999999e-07]
 [0.00018018749999999998]]","[[-9.374999999999999e-07]
 [-0.00018018749999999998]]","[[7.906828125000001e-06]
 [0.0]]","[[0.03125]
 [0.0]]","[[0.004509994140625001]
 [0.0]]",[[0.0]],1453.19978100925
0.00175,"[[0.0]
 [0.0]]","[[3.9375e-06]
 [0.0005308124999999999]]","[[-3.9375e-06]
 [-0.0005308124999999999]]","[[4.509994140625e-05]
 [0.0]]","[[0.04375]
 [0.0]]","[[0.011705520312500002]
 [0.0]]",[[0.0]],1452.31472513141
0.0025,"[[0.0]
 [0.0]]","[[6.9375e-06]
 [0.0008814375]]","[[-6.9375e-06]
 [-0.0008814375]]","[[0.00011705520312500001]
 [0.0]]","[[0.0625]
 [0.0]]","[[0.029490929687500004]
 [0.0]]",[[0.0]],1451.80974040306
0.0032500000000000003,"[[0.0]
 [0.0]]","[[1.2625e-05]
 [0.0015226249999999999]]","[[-1.2625e-05]
 [-0.0015226249999999999]]","[[0.000294909296875]
 [0.0]]","[[0.08125]
 [0.0]]","[[0.05665073984375001]
 [0.0]]",[[2.0312500000000002e-05]],1453.2710328508
0.004,"[[0.0]
 [1.875e-07]]","[[1.8312499999999998e-05]
 [0.0021638125]]","[[-1.8312499999999998e-05]
 [-0.0021636249999999997]]","[[0.0008165073984375001]
 [0.0]]","[[0.09999999999999999]
 [1.875e-07]]","[[0.10036194375000002]
 [7.527140625000002e-08]]",[[7.500000000000001e-05]],1453.31011869768
0.005,"[[0.0]
 [9.374999999999999e-07]]","[[2.6374999999999997e-05]
 [0.0030355]]","[[-2.6374999999999997e-05]
 [-0.0030345625]]","[[0.0017536194375]
 [7.527140625e-10]]","[[0.125]
 [9.374999999999999e-07]]","[[0.16372685937500003]
 [4.911802148437501e-07]]",[[0.00021875]],1453.38940868953
0.006,"[[0.0]
 [3.0625e-06]]","[[3.475e-05]
 [0.003967249999999999]]","[[-3.475e-05]
 [-0.0039641875]]","[[0.0033872685937500003]
 [4.911802148437501e-09]]","[[0.15]
 [3.0625e-06]]","[[0.25764851250000004]
 [2.1041281406250005e-06]]",[[0.0005250000000000001]],1453.39292184872
0.00725,"[[6.25e-08]
 [8.187499999999999e-06]]","[[4.5499999999999995e-05]
 [0.0051294999999999995]]","[[-4.54375e-05]
 [-0.0051213125]]","[[0.006076485125]
 [2.104128140625e-08]]","[[0.18125]
 [8.187499999999999e-06]]","[[0.39975138359375006]
 [7.223089257812501e-06]]",[[0.0010875000000000001]],1453.11684310791
0.0085,"[[1.875e-07]
 [1.88125e-05]]","[[5.8937499999999996e-05]
 [0.0065823125]]","[[-5.875e-05]
 [-0.0065635]]","[[0.009997513835937501]
 [7.2230892578125e-08]]","[[0.2125]
 [1.88125e-05]]","[[0.5764161179687501]
 [2.0411898773437505e-05]]",[[0.002125]],1453.53813421322
0.00975,"[[5e-07]
 [3.95e-05]]","[[7.2375e-05]
 [0.008035124999999999]]","[[-7.1875e-05]
 [-0.007995625]]","[[0.0157641611796875]
 [2.04118987734375e-07]]","[[0.24375]
 [3.95e-05]]","[[0.8036631128906252]
 [5.209382203125001e-05]]",[[0.0038390625]],1453.23531834976
0.01125,"[[1.0625e-06]
 [7.675e-05]]","[[8.81875e-05]
 [0.0097184375]]","[[-8.712499999999999e-05]
 [-0.0096416875]]","[[0.023786631128906253]
 [5.209382203125e-07]]","[[0.28125]
 [7.675e-05]]","[[1.1128605644531253]
 [0.00012147483929687502]]",[[0.006679687500000001]],1453.19365418706
0.012750000000000001,"[[2.125e-06]
 [0.00014137499999999998]]","[[0.0001066875]
 [0.0116923125]]","[[-0.0001045625]
 [-0.011550937499999999]]","[[0.034878605644531255]
 [1.21474839296875e-06]]","[[0.31675]
 [0.00014137499999999998]]","[[1.4916055640937502]
 [0.0002662991101875]]",[[0.01108625]],1453.24614800179
0.0145,"[[4.0625e-06]
 [0.0002483125]]","[[0.0001275625]
 [0.0138966875]]","[[-0.0001235]
 [-0.013648374999999999]]","[[0.049916055640937505]
 [2.6629911018750002e-06]]","[[0.3605]
 [0.0002483125]]","[[1.9941595095625004]
 [0.0005494307172226563]]",[[0.018025000000000003]],1453.0904871146
0.01625,"[[7.4374999999999995e-06]
 [0.000421875]]","[[0.00040081249999999996]
 [0.0163315625]]","[[-0.000393375]
 [-0.0159096875]]","[[0.069941595095625]
 [5.494307172226563e-06]]","[[0.40225]
 [0.000421875]]","[[2.5550157484843754]
 [0.0010718673574218753]]",[[0.028157500000000002]],1453.37904516167
0.018000000000000002,"[[1.3e-05]
 [0.0006923125]]","[[0.0006740625]
 [0.0187664375]]","[[-0.0006610625]
 [-0.018074125]]","[[0.09555015748484376]
 [1.071867357421875e-05]]","[[0.444]
 [0.0006923125]]","[[3.2051563020000007]
 [0.001999070646761719]]",[[0.042402]],1453.49457234211
0.02,"[[2.1937499999999998e-05]
 [0.0010984375]]","[[0.0009496875]
 [0.021431812499999998]]","[[-0.00092775]
 [-0.020333375]]","[[0.12755156302]
 [1.9990706467617188e-05]]","[[0.492]
 [0.0010984375]]","[[3.994539605250001]
 [0.0035672759450195318]]",[[0.06273000000000001]],1453.52437565174
0.022,"[[3.59375e-05]
 [0.0016977499999999998]]","[[0.001228]
 [0.02438775]]","[[-0.0011920625]
 [-0.02269]]","[[0.1674453960525]
 [3.567275945019532e-05]]","[[0.5359999999999999]
 [0.0016977499999999998]]","[[4.852423309500001]
 [0.006147907898078126]]",[[0.08978]],1451.47119811266
0.024,"[[5.7187499999999994e-05]
 [0.0025529999999999997]]","[[0.0015086874999999998]
 [0.0275741875]]","[[-0.0014514999999999999]
 [-0.0250211875]]","[[0.21602423309500002]
 [6.147907898078125e-05]]","[[0.58]
 [0.0025529999999999997]]","[[5.740025353750001]
 [0.010106396910187502]]",[[0.12528]],1453.09048741172
0.02625,"[[8.86875e-05]
 [0.0037428125]]","[[0.001789375]
 [0.030760625]]","[[-0.0017006875]
 [-0.0270178125]]","[[0.27340025353749997]
 [0.000101063969101875]]","[[0.62625]
 [0.0037428125]]","[[6.702683805703126]
 [0.016023551559257814]]",[[0.171279375]],1453.47473675997
0.02875,"[[0.00013424999999999998]
 [0.0053644999999999995]]","[[0.00207275]
 [0.034237625]]","[[-0.0019385]
 [-0.028873125]]","[[0.34052683805703127]
 [0.00016023551559257813]]","[[0.6705]
 [0.0053644999999999995]]","[[7.6828974300000015]
 [0.024587547374500005]]",[[0.228306591125]],1453.51002099199
0.031,"[[0.0001986875]
 [0.007518687499999999]]","[[0.0023588125]
 [0.038005187499999996]]","[[-0.0021601249999999997]
 [-0.0304865]]","[[0.41732897430000004]
 [0.000495875473745]]","[[0.70875]
 [0.007518687499999999]]","[[8.595395525390627]
 [0.036473255034699226]]",[[0.29572969684375]],1452.83378078899
0.0335,"[[0.0002878125]
 [0.01029775]]","[[0.0026469375]
 [0.0419431875]]","[[-0.0023591249999999997]
 [-0.0316454375]]","[[0.5032039552539063]
 [0.0008647325503469923]]","[[0.74925]
 [0.01029775]]","[[9.469885713046876]
 [0.05206189959506251]]",[[0.3770677858125]],1453.4959984041
0.03625,"[[0.00040849999999999995]
 [0.013827062499999999]]","[[0.0031874374999999997]
 [0.0461116875]]","[[-0.0027789374999999997]
 [-0.032284625]]","[[0.5979488571304687]
 [0.0012706189959506252]]","[[0.78375]
 [0.013827062499999999]]","[[10.114738332187502]
 [0.0713783791957461]]",[[0.46869978382812505]],1453.48441942861
0.039,"[[0.0005686875]
 [0.0181936875]]","[[0.00372825]
 [0.050340249999999996]]","[[-0.0031595625]
 [-0.032146562499999996]]","[[0.699147383321875]
 [0.001963783791957461]]","[[0.8165]
 [0.0181936875]]","[[10.595332407343752]
 [0.09443625553988673]]",[[0.570974012375]],1452.98851636184
0.04175,"[[0.0007771875]
 [0.0234864375]]","[[0.0042714375]
 [0.054799312499999996]]","[[-0.00349425]
 [-0.031312875]]","[[0.8052033240734375]
 [0.0029443625553988674]]","[[0.837]
 [0.0234864375]]","[[10.712692378125002]
 [0.12024026266505862]]",[[0.6740647093125001]],1452.81425298072
0.04475,"[[0.0010431875]
 [0.029695062499999998]]","[[0.004817]
 [0.059488875]]","[[-0.0037738125]
 [-0.0297938125]]","[[0.91237692378125]
 [0.0042024026266505865]]","[[0.85575]
 [0.029695062499999998]]","[[10.590246089718752]
 [0.1469951268468008]]",[[0.780998079015625]],1452.91678409397
0.04775,"[[0.0013759999999999998]
 [0.036839437499999995]]","[[0.005365249999999999]
 [0.064469]]","[[-0.00398925]
 [-0.0276295625]]","[[1.0184024608971876]
 [0.005719951268468008]]","[[0.86225]
 [0.036839437499999995]]","[[10.104826578828126]
 [0.1726903776845508]]",[[0.878413451765625]],1452.99839873394
0.05075,"[[0.001784375]
 [0.0448068125]]","[[0.005915875]
 [0.069679625]]","[[-0.0041315]
 [-0.024872812499999997]]","[[1.1195482657882811]
 [0.007476903776845508]]","[[0.867]
 [0.0448068125]]","[[9.408579038812501]
 [0.19449497812999614]]",[[0.97094255109375]],1453.29628355223
0.054,"[[0.0022761875]
 [0.0535325625]]","[[0.0067185625]
 [0.0750606875]]","[[-0.004442375]
 [-0.021528125]]","[[1.213585790388125]
 [0.009444949781299962]]","[[0.8657499999999999]
 [0.0535325625]]","[[8.406666414828127]
 [0.20792592303401958]]",[[1.05109618434375]],1453.15910617666
0.05725,"[[0.002858375]
 [0.062879125]]","[[0.0075215625]
 [0.08050181249999999]]","[[-0.0046631875]
 [-0.017622687499999998]]","[[1.2975666641482813]
 [0.011579259230340196]]","[[0.8584999999999999]
 [0.062879125]]","[[7.249159244531251]
 [0.21237967980186723]]",[[1.1146268599375]],1453.5174812845
0.06075,"[[0.0035363125]
 [0.07266956249999999]]","[[0.0083269375]
 [0.08617343749999999]]","[[-0.004790625]
 [-0.013503875]]","[[1.3699915924453125]
 [0.01362379679801867]]","[[0.84925]
 [0.07266956249999999]]","[[6.0240870411562515]
 [0.20618977344086722]]",[[1.16445353909375]],1453.27824029604
0.064,"[[0.004313625]
 [0.0827595]]","[[0.009134999999999999]
 [0.092135625]]","[[-0.004821375]
 [-0.009376124999999999]]","[[1.4302408704115626]
 [0.015561897734408671]]","[[0.83175]
 [0.0827595]]","[[4.769366474343751]
 [0.1898210116544063]]",[[1.19089320975]],1453.44674579456
0.06775,"[[0.005192125]
 [0.09291137499999999]]","[[0.010194812499999999]
 [0.0982081875]]","[[-0.0050026875]
 [-0.0052968124999999994]]","[[1.4779436647434376]
 [0.017398210116544063]]","[[0.8185]
 [0.09291137499999999]]","[[3.5373900771562505]
 [0.16061685211105473]]",[[1.2113689490625001]],1453.52956704266
0.07125000000000001,"[[0.0061721875]
 [0.1030649375]]","[[0.01125525]
 [0.10440087499999999]]","[[-0.0050830625]
 [-0.0013359374999999999]]","[[1.5133739007715623]
 [0.019106168521110547]]","[[0.8009999999999999]
 [0.1030649375]]","[[2.4205074069375003]
 [0.1245781070472422]]",[[1.2140714838125002]],1453.5189616587
0.075,"[[0.007252875]
 [0.11304425]]","[[0.012317749999999999]
 [0.110764]]","[[-0.005064875]
 [0.0022802499999999997]]","[[1.5374550740693749]
 [0.020245781070472424]]","[[0.78975]
 [0.11304425]]","[[1.3834747210781253]
 [0.07921080543629688]]",[[1.2165297710625]],1453.39210664349
0.079,"[[0.008432499999999999]
 [0.12285025]]","[[0.0133805625]
 [0.1171871875]]","[[-0.0049480625]
 [0.0056630625]]","[[1.5513347472107815]
 [0.02104210805436297]]","[[0.7805]
 [0.12285025]]","[[0.4985744730312501]
 [0.03138895294207813]]",[[1.21333048025]],1453.15256459181
0.083,"[[0.009709062499999999]
 [0.1324304375]]","[[0.014695749999999999]
 [0.12384087499999999]]","[[-0.0049866875]
 [0.0085895625]]","[[1.5562357447303126]
 [0.021313889529420784]]","[[0.77125]
 [0.1324304375]]","[[-0.29593127617187504]
 [-0.020326946497531254]]",[[1.203071959296875]],1452.86818641782
0.08700000000000001,"[[0.0110799375]
 [0.14171937499999998]]","[[0.0160109375]
 [0.1304945625]]","[[-0.004931]
 [0.011224812499999999]]","[[1.5532906872382815]
 [0.02104673053502469]]","[[0.766]
 [0.14171937499999998]]","[[-0.9441212833750001]
 [-0.06987110628476564]]",[[1.192765606875]],1451.72559171114
0.091,"[[0.0125423125]
 [0.15072231249999998]]","[[0.0173285]
 [0.13737875]]","[[-0.0047861875]
 [0.0133435625]]","[[1.54380878716625]
 [0.020301288937152346]]","[[0.7565]
 [0.15072231249999998]]","[[-1.4443541970937503]
 [-0.11510884379021487]]",[[1.1708990018281251]],1453.39888763377
0.09525,"[[0.01409275]
 [0.15933049999999999]]","[[0.0186484375]
 [0.1444934375]]","[[-0.0045556875]
 [0.0148370625]]","[[1.5293064580290623]
 [0.019098911562097854]]","[[0.75725]
 [0.15933049999999999]]","[[-1.8569856697031253]
 [-0.15629079272100002]]",[[1.161051842]],1453.53981998351
0.0995,"[[0.015727875]
 [0.16767074999999998]]","[[0.020218375]
 [0.15160812499999998]]","[[-0.0044905]
 [0.016062625]]","[[1.5106801433029688]
 [0.01743709207279]]","[[0.7517499999999999]
 [0.16767074999999998]]","[[-2.1716646089375002]
 [-0.19374979736043754]]",[[1.1386405506250001]],1452.91504006755
0.10400000000000001,"[[0.017444499999999998]
 [0.1756239375]]","[[0.0217883125]
 [0.1587228125]]","[[-0.0043438125]
 [0.016901125]]","[[1.489033353910625]
 [0.015562502026395626]]","[[0.7585]
 [0.1756239375]]","[[-2.3640847409375003]
 [-0.21895540109295708]]",[[1.1321286710312501]],1453.16816388814
0.1085,"[[0.0192395]
 [0.1833551875]]","[[0.023360937499999998]
 [0.16612806249999998]]","[[-0.0041214375]
 [0.017227125]]","[[1.465359152590625]
 [0.013310445989070429]]","[[0.76525]
 [0.1833551875]]","[[-2.4279075271250004]
 [-0.2326947620505391]]",[[1.123712018734375]],1452.73889528944
0.113,"[[0.021110624999999997]
 [0.19085]]","[[0.024935937499999998]
 [0.1737638125]]","[[-0.0038253124999999997]
 [0.0170861875]]","[[1.4409709247287499]
 [0.010923052379494608]]","[[0.7739999999999999]
 [0.19085]]","[[-2.4375031492500003]
 [-0.24041483045937503]]",[[1.11743335]],1452.85696539876
